#,Time (s),Position (m),Position (m)
1,0,0.614,0.48
2,0.02,0.605,0.472
3,0.04,0.596,0.463
4,0.06,0.588,0.454
5,0.08,0.58,0.444
6,0.1,0.574,0.436
7,0.12,0.569,0.427
8,0.14,0.566,0.419
9,0.16,0.565,0.411
10,0.18,0.566,0.404
11,0.2,0.568,0.398
12,0.22,0.572,0.392
13,0.24,0.578,0.387
14,0.26,0.585,0.384
15,0.28,0.593,0.382
16,0.3,0.602,0.381
17,0.32,0.611,0.381
18,0.34,0.621,0.382
19,0.36,0.63,0.384
20,0.38,0.638,0.387
21,0.4,0.645,0.391
22,0.42,0.651,0.397
23,0.44,0.656,0.403
24,0.46,0.659,0.41
25,0.48,0.66,0.418
26,0.5,0.659,0.426
27,0.52,0.656,0.435
28,0.54,0.652,0.444
29,0.56,0.646,0.453
30,0.58,0.639,0.462
31,0.6,0.631,0.47
32,0.62,0.622,0.479
33,0.64,0.612,0.487
34,0.66,0.603,0.495
35,0.68,0.594,0.502
36,0.7,0.586,0.508
37,0.72,0.579,0.513
38,0.74,0.573,0.517
39,0.76,0.569,0.52
40,0.78,0.566,0.522
41,0.8,0.565,0.523
42,0.82,0.566,0.523
43,0.84,0.569,0.521
44,0.86,0.573,0.519
45,0.88,0.579,0.515
46,0.9,0.586,0.51
47,0.92,0.595,0.505
48,0.94,0.604,0.498
49,0.96,0.613,0.491
50,0.98,0.622,0.483
51,1,0.631,0.475
52,1.02,0.639,0.466
53,1.04,0.647,0.457
54,1.06,0.653,0.448
55,1.08,0.657,0.439
56,1.1,0.659,0.43
57,1.12,0.66,0.422
58,1.14,0.659,0.414
59,1.16,0.657,0.407
60,1.18,0.652,0.4
61,1.2,0.646,0.394
62,1.22,0.639,0.389
63,1.24,0.63,0.385
64,1.26,0.621,0.383
65,1.28,0.612,0.381
66,1.3,0.603,0.38
67,1.32,0.594,0.381
68,1.34,0.586,0.383
69,1.36,0.579,0.386
70,1.38,0.573,0.39
71,1.4,0.569,0.395
72,1.42,0.566,0.401
73,1.44,0.566,0.407
74,1.46,0.567,0.415
