#,Time (s),Position (m),Position (m)
1,0.02,0.625,0.691
2,0.04,0.617,0.689
3,0.06,0.607,0.687
4,0.08,0.597,0.684
5,0.1,0.587,0.68
6,0.12,0.577,0.675
7,0.14,0.568,0.671
8,0.16,0.559,0.667
9,0.18,0.551,0.664
10,0.2,0.545,0.662
11,0.22,0.54,0.66
12,0.24,0.538,0.661
13,0.26,0.537,0.662
14,0.28,0.537,0.664
15,0.3,0.54,0.668
16,0.32,0.544,0.672
17,0.34,0.55,0.676
18,0.36,0.558,0.681
19,0.38,0.566,0.684
20,0.4,0.576,0.688
21,0.42,0.586,0.69
22,0.44,0.596,0.691
23,0.46,0.606,0.691
24,0.48,0.615,0.689
25,0.5,0.624,0.686
26,0.52,0.631,0.683
27,0.54,0.637,0.679
28,0.56,0.642,0.675
29,0.58,0.645,0.67
30,0.6,0.646,0.667
31,0.62,0.645,0.664
32,0.64,0.642,0.662
33,0.66,0.637,0.661
34,0.68,0.631,0.661
35,0.7,0.624,0.663
36,0.72,0.615,0.666
37,0.74,0.606,0.669
38,0.76,0.596,0.673
39,0.78,0.586,0.677
40,0.8,0.576,0.682
41,0.82,0.567,0.685
42,0.84,0.558,0.688
43,0.86,0.551,0.69
44,0.88,0.545,0.691
45,0.9,0.54,0.69
46,0.92,0.538,0.688
47,0.94,0.537,0.686
48,0.96,0.538,0.682
49,0.98,0.541,0.678
50,1,0.545,0.673
51,1.02,0.551,0.669
52,1.04,0.559,0.666
53,1.06,0.568,0.663
54,1.08,0.577,0.661
55,1.1,0.587,0.66
56,1.12,0.597,0.661
57,1.14,0.607,0.663
58,1.16,0.617,0.666
59,1.18,0.625,0.67
60,1.2,0.633,0.674
61,1.22,0.639,0.678
62,1.24,0.643,0.682
63,1.26,0.646,0.686
64,1.28,0.646,0.689
65,1.3,0.645,0.69
66,1.32,0.642,0.691
67,1.34,0.638,0.69
68,1.36,0.631,0.688
69,1.38,0.624,0.685
70,1.4,0.615,0.681
71,1.42,0.605,0.677
72,1.44,0.595,0.673
73,1.46,0.585,0.669
74,1.48,0.575,0.665
75,1.5,0.566,0.663
76,1.52,0.557,0.661
77,1.54,0.55,0.661
78,1.56,0.544,0.662
79,1.58,0.54,0.664
80,1.6,0.537,0.667
81,1.62,0.537,0.671
82,1.64,0.538,0.675
83,1.66,0.541,0.679
84,1.68,0.546,0.683
