"","numPoints","y2","y3","t","eT","eTm","dy","cosT","sinT","dyy","dy2","dyy2","ydy","ydyy","dydyy"
"1",100,0,0.103853537262372,0,0,0,-0.162938247586207,0,0,-0.894124620005145,0,0,0,0,0
"2",300,0,0.00184031759529387,0,0,0,-0.0433243542615661,0,0,-0.993305986728005,0,0,0,0,0
"3",500,0,0.0253374020825803,0,0,0,-0.0203665962984246,0,0,-0.974601392828687,0,0,0,0,0
"4",700,0,0.000675612800029227,0,0,0,-0.013318956325292,0.00417204802466015,0,-1.00817443617452,0,0,0,0,0
"5",900,0,0.0131159651132521,0,0,0,-0.00321344799378176,0,0,-0.988035281668157,0,0,0,0,0
"6",1100,0,0,0,0,0,-0.00213446654626175,0,0,-1.00737353434221,0,0,0,0,0
"7",1300,0,0.0129654888952705,0,0,0,0,0,0,-0.98769541320819,0,0,0,0,0
"8",1500,0,0,0,0,0,0,0,0,-0.993687708715588,0,0,0,0,0
"9",1700,0,0.00236004190185494,0,0,0,0,0,0,-0.995168710082942,0,0,0,0,0
"10",1900,0,0.00262503039714594,0,0,0,0,0,0,-0.998210874020445,0,0,0,0,0
"11",2100,0,0.00601316827038129,0,0,0,0,0,0,-0.995887650510208,0,0,0,0,0
