"","numPoints","y2","y3","t","eT","eTm","dy","cosT","sinT","dyy","dy2","dyy2","ydy","ydyy","dydyy"
"1",10,0,0.552676103220993,-0.109145926572049,-0.405644931716895,0,0,0,0,0,NA,NA,NA,NA,NA
"2",20,0.205599181355685,0.289213617933189,-0.140870231391001,-0.709895787499552,0.0326782197231186,0.381551085420965,0.32403423083168,0.592991551851406,0.296102823391584,NA,NA,NA,NA,NA
"3",30,0.0738517639053299,0.304312529356871,-0.0775655123279176,-0.690152857061397,0,-0.0632075351550765,0.243520421286785,0.0257226814169415,0.20094266872709,NA,NA,NA,NA,NA
"4",40,0,0.474352701740055,0,-0.486250937495184,0,0,0,0,0,NA,NA,NA,NA,NA
"5",50,0.140773875741454,0.384008287288345,-0.0498780424973603,-0.625836927534734,-0.0385717082257945,0.117441485020977,0.110777149238026,0.297083919379797,0.102216822378416,NA,NA,NA,NA,NA
"6",60,0,0.52277399614278,-0.0222981095341039,-0.476200821085037,-0.0587444984729925,0,0.0698884332460886,0.0424571176607556,0.0808095012580802,NA,NA,NA,NA,NA
"7",70,0.0805614681708008,0.300372154544763,-0.0308021246712968,-0.70627242437999,-0.18774318536031,0.0922911512380693,0,0.340075551525874,0.0104180886696081,NA,NA,NA,NA,NA
"8",80,0.192888797377347,0.37619438776534,-0.0221854484772859,-0.649269631867619,0,0.12866704439948,0,0.32416465772687,-0.0021351604900682,NA,NA,NA,NA,NA
"9",90,0.111798992152504,0.335277598839314,-0.021443531597494,-0.67703251765099,-0.105071025737892,0.0770050949619219,0,0.270952981564972,0.0129685096124873,NA,NA,NA,NA,NA
"10",100,0.0943438111301882,0.341860029488032,-0.0237061629535426,-0.668804617907149,-0.144841484194284,0.0573922734273111,0.0222627242174719,0.298210975551562,0,NA,NA,NA,NA,NA
