"","numPoints","y2","y3","t","eT","eTm","dy","cosT","sinT","dyy","dy2","dyy2","ydy","ydyy","dydyy"
"1",100,0,0.0689801914341015,0,0.0116498845060104,0,-0.197838173464067,0,-0.00523688528438266,-0.951983395211984,0.0063776620350113,0,0,0,-0.0017952066682458
"2",300,0,0,0,0,0,-0.0585826444355677,0,0,-1.01019756163719,0,0,0,0,0
"3",500,0,0.0263929213092414,0,0,0,-0.0325619354561871,0,0.00496921849645135,-0.985954136909163,0,0,0,0,0
"4",700,0,0.000832190169588709,0,0.00276637599708101,0,-0.0253228632657872,0.0127645590509526,0,-1.017858270201,0,0,0,0,-0.00151075963108304
"5",900,0,0.0152508092047214,0,0.003775492646865,0,-0.0160871471705662,0,0,-0.997641837321377,0,0,0,0,0
"6",1100,0,0.00246812760306064,0,0,0,-0.0128722163559243,0,0,-1.01581375051423,0,0,0,0,0
"7",1300,0,0.018870205291821,0,0,0,-0.00708391771124039,0,0,-0.995866529596154,0,0,0,0,0
"8",1500,0,0,0,0,0,-0.00484215289465105,0,0,-1.00731819798214,0,0,0,0,0
"9",1700,0,0.00908657858546897,-0.000730198264490222,0,0,-0.00393208140862286,0,0,-1.00283233630779,0,0,0,0,0
"10",1900,0,0.00632789381703626,0,0,0,-0.00813112290588354,0,0,-1.00390922691326,0,0,0,0,0
"11",2100,0,0.0104772030274745,0,0,0,-0.00738224156504334,-0.00184868389837119,0,-1.00189607807996,0,0,0,0,0
