time,yData
0.067,0.13
0.1,0.12
0.133,0.11
0.167,0.1
0.2,0.1
0.233,0.1
0.266,0.1
0.3,0.11
0.333,0.12
0.367,0.13
0.4,0.14
0.433,0.16
0.467,0.16
0.5,0.17
0.533,0.17
0.567,0.17
0.6,0.16
0.633,0.15
0.666,0.14
0.7,0.13
0.733,0.12
0.766,0.11
0.8,0.1
0.833,0.1
0.866,0.1
0.9,0.1
0.933,0.11
0.966,0.12
1,0.13
1.033,0.14
1.066,0.15
1.1,0.16
1.133,0.17
1.166,0.17
1.2,0.17
1.233,0.16
1.266,0.16
1.3,0.15
1.333,0.13
1.366,0.12
1.4,0.11
1.433,0.1
1.466,0.1
1.5,0.1
1.533,0.1
1.566,0.11
1.6,0.12
1.633,0.13
1.666,0.14
1.7,0.15
1.733,0.16
1.766,0.17
1.8,0.17
1.833,0.17
1.866,0.16
1.899,0.16
1.933,0.15
1.966,0.14
1.999,0.12
2.033,0.11
2.066,0.11
2.099,0.1
2.133,0.1
2.166,0.1
2.199,0.11
2.233,0.12
2.266,0.13
2.299,0.14
2.333,0.15
2.366,0.16
2.399,0.17
2.433,0.17
2.466,0.17
2.499,0.16
2.533,0.16
2.566,0.15
2.599,0.14
2.633,0.13
2.666,0.11
2.699,0.11
2.733,0.1
2.766,0.1
2.799,0.1
2.833,0.11
2.866,0.12
2.899,0.13
2.933,0.14
2.966,0.15
2.999,0.16
3.032,0.17
3.066,0.17
3.099,0.17
3.132,0.16
3.166,0.16
3.199,0.15
3.232,0.14
3.266,0.12
3.299,0.12
3.332,0.11
3.366,0.1
3.399,0.1
3.432,0.1
3.466,0.11
3.499,0.12
3.532,0.13
3.566,0.14
3.599,0.15
3.632,0.16
3.666,0.16
3.699,0.17
3.732,0.17
3.766,0.16
3.799,0.16
3.832,0.15
3.866,0.14
3.899,0.13
3.932,0.12
3.966,0.11
3.999,0.1
4.032,0.1
4.065,0.1
4.099,0.11
4.132,0.11
4.165,0.13
4.199,0.14
4.232,0.15
4.265,0.16
4.299,0.16
4.332,0.17
4.365,0.17
4.399,0.17
4.432,0.16
4.465,0.15
4.499,0.14
4.532,0.13
4.565,0.12
4.599,0.11
4.632,0.1
4.666,0.1
4.699,0.1
4.732,0.11
4.765,0.12
4.799,0.13
4.832,0.14
4.865,0.15
4.899,0.16
4.932,0.16
4.965,0.17
4.999,0.17
5.032,0.17
5.065,0.16
5.099,0.15
5.132,0.14
5.165,0.13
5.199,0.12
