time,I
148.708,32.59
148.907,32.07
149.106,31.98
149.502,33.6
149.702,34.57
149.9,33.56
150.096,32.96
150.294,32.59
150.495,31.98
151.09,32.67
151.287,32.96
151.487,37.16
151.683,43.71
151.881,48.29
152.08,49.26
152.279,50.97
152.478,51.57
152.676,51.54
153.074,51.86
153.27,51.62
153.47,51.94
153.865,52.27
154.458,52.03
155.052,51.94
155.25,51.62
155.449,50.94
155.648,51.25
155.847,50.28
156.045,49.67
156.637,49.35
156.835,48.75
157.23,48.15
157.43,48.38
157.625,47.46
157.826,47.37
158.021,46.76
158.223,46.44
158.418,46.68
158.617,46.16
158.814,44.78
159.013,43.15
159.208,37.27
159.41,35.6
159.606,33.34
159.805,32.04
160.002,32.35
160.2,31.75
160.398,30.98
160.597,30.74
160.794,33.93
160.99,41.48
161.196,47.37
161.387,49.07
161.588,48.35
161.784,49.07
161.982,48.06
162.177,47.46
162.38,46.39
162.574,46.71
162.773,46.1
162.971,45.47
163.177,46.07
163.366,45.79
163.762,45.39
163.963,44.7
164.16,44.32
164.356,43.4
164.555,44.04
164.751,43.11
164.953,41.45
165.147,39.14
165.352,37.47
165.544,31.27
165.745,30.98
165.939,30.52
166.139,27.93
166.336,29.91
166.535,29.31
166.733,29.91
166.932,30.61
167.128,30.98
167.327,28.94
167.527,28.53
167.722,28.57
167.92,28.25
168.117,28.99
168.317,29.68
168.516,29.37
168.72,31.35
168.91,31.95
169.111,32.32
169.306,34.03
169.504,34.6
169.702,35.89
169.901,35.06
170.099,35.58
170.296,35.95
170.493,41.53
170.697,43.52
170.889,42.22
171.089,40.87
171.284,40.55
171.483,42.5
171.682,43.23
171.88,42.13
172.078,40.75
172.275,40.84
172.474,41.16
172.673,39.77
172.869,38.11
173.067,34.77
173.266,31.07
173.462,29.32
173.665,27.36
173.858,27.04
174.062,28.34
174.254,32.74
174.455,35.66
174.649,34.4
174.85,30.24
175.047,27.26
175.243,23.85
175.444,20.65
175.647,15.79
175.841,15.15
176.038,14.78
176.235,12.51
176.434,13.44
176.63,17.42
176.827,18.44
177.03,16.45
177.225,15.99
177.423,15.06
177.62,15.02
177.818,14.38
178.016,14.78
178.413,16.08
178.613,17.05
178.811,17.37
179.011,15.9
179.207,15.3
179.405,15.02
179.604,14.96
179.803,14.32
179.998,14.13
180.199,13.81
180.399,16.08
180.594,15.39
180.792,16.77
180.99,16.13
181.188,16.08
181.384,15.47
181.78,14.47
181.977,15.47
182.177,13.4
182.377,13.35
182.573,12.74
182.772,11.82
182.969,12.43
183.171,13.81
183.365,14.41
183.563,13.4
183.765,13.03
183.962,12.83
184.159,10.07
184.759,9.75
184.953,10.07
185.153,11.08
185.352,10.76
185.552,11.45
185.747,11.82
185.947,12.83
186.142,12.43
186.538,13.11
186.738,13.89
186.933,20.42
187.134,35.13
187.33,37.11
187.53,37.8
187.727,37.4
188.122,37.71
188.319,37.8
188.518,37.48
188.713,37.8
189.11,37.16
189.307,38.08
189.504,37.8
189.704,37.48
189.902,36.79
190.101,37.19
190.703,36.5
190.894,32.54
191.094,31.93
191.294,31.61
191.491,32.33
191.689,31.93
191.886,31.7
192.084,32.62
192.482,32.7
192.874,33.03
193.469,32.7
194.656,32.38
194.859,32.62
195.253,33.34
195.449,32.42
196.24,32.1
197.231,32.33
197.631,32.01
198.222,32.73
198.425,32.41
198.619,31.82
199.806,31.73
200.6,31.41
200.994,31.53
201.192,31.41
201.394,32.13
201.593,31.21
201.786,31.81
201.984,31.21
202.182,31.81
202.577,31.21
202.78,31.45
203.37,31.12
204.956,30.8
206.143,31.76
206.342,31.44
206.542,30.84
207.131,30.52
207.329,30.84
207.528,30.52
208.914,30.2
209.11,30.43
211.093,30.56
211.289,30.23
212.875,29.91
213.074,30.15
213.469,29.91
213.666,30.15
213.865,29.83
214.46,29.23
214.658,29.63
215.844,29.31
216.638,29.54
216.835,29.22
217.233,29.94
217.429,28.62
217.626,29.35
217.825,29.02
218.619,28.7
218.814,28.94
219.012,28.7
219.41,29.66
219.607,29.34
220.793,28.74
221.387,28.42
222.574,28.1
223.366,29.05
223.568,28.73
224.558,28.14
224.761,27.81
225.743,27.49
226.34,28.21
226.733,27.89
226.932,28.13
227.133,27.53
227.927,27.21
228.912,27.93
229.111,27.61
230.694,27.29
230.894,27.52
231.287,26.93
231.883,26.6
232.672,27.33
233.861,26.6
234.059,27
234.455,27.33
234.651,27
237.424,26.68
237.623,26.92
238.018,26.68
238.218,26.92
238.415,26.68
238.614,26.92
238.812,26.32
239.011,26.08
239.207,26.32
239.411,26
239.803,26.72
240.394,26.4
240.793,26.08
241.186,26.4
241.387,26.08
241.978,25.48
242.182,26.2
242.375,26.12
243.562,25.79
244.753,24.87
244.954,25.6
245.743,25.27
245.94,25.51
246.931,25.19
247.921,25.31
248.119,24.99
249.304,24.67
250.099,24.9
250.296,25.31
250.693,24.71
251.484,24.39
252.08,24.06
252.674,24.79
253.077,24.46
253.269,24.1
253.862,23.78
255.446,23.46
255.643,24.18
256.634,23.86
256.83,23.26
257.226,23.18
257.623,22.94
258.017,23.18
258.216,23.9
258.416,23.58
259.206,22.98
259.406,23.58
259.604,22.66
260.991,22.33
261.98,23.06
262.773,22.97
263.365,22.37
264.158,22.05
264.751,22.77
264.949,22.05
265.146,22.45
266.535,22.13
266.931,21.53
267.128,21.77
267.921,21.45
268.316,22.17
268.911,21.85
269.702,20.93
270.891,20.61
271.095,20.84
271.484,21.56
273.07,21.24
274.85,20.64
275.053,21.24
275.246,20.64
275.445,20.32
276.435,20
277.029,20.96
277.425,20.64
278.018,20.04
278.412,20.64
278.612,20.04
278.809,19.72
279.009,20.04
279.204,19.72
279.801,20.04
280.197,19.72
282.175,20.12
282.375,20.35
282.572,20.12
283.562,20.35
284.157,20.12
284.362,20.35
284.951,19.75
285.148,19.43
287.723,19.11
290.102,19.83
290.295,19.75
290.894,18.79
291.288,19.51
291.683,19.11
291.886,19.51
292.277,19.75
293.265,19.15
293.663,18.83
295.249,18.51
296.238,18.42
296.635,18.51
297.225,18.42
297.425,18.54
298.02,18.18
298.809,17.82
299.008,18.54
300.988,18.22
302.773,17.9
303.963,17.54
304.157,17.3
304.354,17.22
305.742,17.94
306.731,17.62
307.127,17.94
307.325,17.62
309.104,17.3
309.501,16.7
310.1,16.93
310.691,16.61
312.474,17.33
313.067,17.01
313.66,17.33
314.254,17.01
318.809,16.41
319.006,16.09
319.601,16.33
320.988,16.01
322.573,15.68
322.77,16.41
322.967,16.04
323.165,15.72
324.353,15.4
325.541,15.64
325.743,15.4
325.939,15.64
326.137,15.4
330.494,15.31
330.89,14.72
332.274,14.4
332.473,15.12
337.224,14.8
337.422,15.12
337.619,14.8
339.996,15.03
341.386,14.11
341.581,14.71
341.778,14.11
343.167,13.79
345.544,14.03
345.738,13.79
345.938,14.03
346.133,13.7
346.529,14.03
346.925,13.7
349.304,14.43
349.499,13.7
