time,I
0,0.949283276
0.792,0.98
1.387,0.966348123
1.583,0.97616041
1.978,0.966348123
2.769,0.927098976
2.971,0.936911263
3.165,0.968054608
3.563,0.940324232
3.957,0.971040956
4.353,0.945870307
4.551,0.93221843
4.945,0.92837884
5.341,0.914726962
5.541,0.945443686
5.741,0.906194539
6.133,0.892542662
6.725,0.894249147
6.923,0.880170648
7.124,0.897662116
7.516,0.858412969
7.715,0.868225256
7.914,0.885290102
8.113,0.871638225
8.31,0.846040956
8.506,0.832389078
8.704,0.849453925
9.103,0.835802048
9.298,0.820443686
9.5,0.837508532
9.692,0.823856655
10.089,0.784607509
10.681,0.794419795
11.079,0.798259386
11.275,0.784607509
11.473,0.798259386
11.67,0.823856655
12.263,0.794419795
12.463,0.784607509
12.659,0.794419795
12.856,0.811484642
13.451,0.797832765
13.846,0.758583618
14.045,0.768822526
14.252,0.789300341
14.439,0.785887372
15.43,0.799539249
15.628,0.768822526
16.022,0.772235495
16.417,0.797832765
16.813,0.772235495
17.014,0.768822526
17.206,0.758583618
17.602,0.785887372
17.805,0.772235495
18,0.732986348
18.204,0.763703072
18.593,0.759863481
18.79,0.734266212
18.988,0.751331058
19.186,0.737679181
19.582,0.724027304
19.782,0.725733788
20.176,0.712081911
20.57,0.698430034
20.767,0.703549488
20.965,0.672832765
21.367,0.682645051
21.954,0.668993174
22.156,0.699709898
22.351,0.668993174
23.143,0.672832765
23.538,0.682645051
24.327,0.668993174
24.723,0.699709898
24.921,0.68605802
25.32,0.696296928
25.515,0.657047782
25.711,0.674112628
25.911,0.660460751
26.109,0.621211604
26.306,0.648088737
26.504,0.60883959
26.701,0.595187713
26.902,0.622491468
27.097,0.583242321
27.294,0.569590444
27.494,0.596467577
27.689,0.55721843
27.89,0.543566553
28.085,0.545273038
28.284,0.53162116
28.482,0.52778157
28.68,0.5021843
28.878,0.519249147
29.076,0.50559727
29.473,0.476587031
29.874,0.462935154
30.064,0.493651877
30.459,0.48
30.657,0.45440273
31.054,0.489812287
31.25,0.464641638
31.647,0.45056314
31.843,0.464641638
32.04,0.45056314
32.437,0.489812287
32.833,0.48
33.229,0.493651877
33.426,0.462935154
33.622,0.476587031
34.216,0.50559727
34.808,0.519249147
35.602,0.533327645
35.797,0.5021843
36.004,0.533327645
36.193,0.541433447
36.396,0.52778157
36.589,0.541433447
36.784,0.53162116
36.984,0.541433447
37.186,0.53162116
37.58,0.541433447
37.777,0.545273038
37.973,0.555511945
38.171,0.545273038
38.569,0.540153584
38.765,0.545273038
38.965,0.540153584
39.361,0.553805461
40.546,0.540153584
41.141,0.514556314
41.337,0.541433447
42.131,0.52778157
42.326,0.514129693
42.524,0.488532423
42.724,0.485119454
42.918,0.515836177
43.516,0.5021843
43.909,0.476587031
44.106,0.486399317
44.305,0.462935154
44.7,0.47274744
45.293,0.459095563
45.49,0.47274744
45.702,0.489812287
45.886,0.459095563
46.283,0.47616041
46.48,0.460802048
46.877,0.447150171
47.272,0.433498294
47.468,0.407901024
47.67,0.434778157
48.063,0.42112628
48.46,0.407474403
48.655,0.392116041
48.854,0.378464164
49.249,0.409180887
49.446,0.39552901
50.039,0.381877133
50.236,0.356279863
50.637,0.36609215
51.225,0.352440273
52.017,0.338788396
53.008,0.354146758
53.403,0.340494881
53.599,0.354146758
53.8,0.340494881
54.391,0.348600683
56.768,0.323430034
56.963,0.309778157
57.16,0.340494881
58.356,0.326843003
58.942,0.309778157
59.137,0.326843003
59.533,0.340494881
59.732,0.33665529
59.93,0.326843003
60.129,0.33665529
60.326,0.309778157
60.727,0.340494881
61.121,0.334948805
61.32,0.340494881
61.717,0.338788396
62.705,0.379744027
62.907,0.338788396
63.101,0.348600683
63.692,0.338788396
63.893,0.340494881
64.091,0.334948805
64.288,0.33665529
64.486,0.323003413
65.082,0.283754266
65.291,0.293993174
65.476,0.279914676
65.674,0.293993174
65.871,0.31105802
66.071,0.296979522
67.657,0.30721843
67.861,0.28162116
68.05,0.296979522
68.249,0.28162116
68.445,0.267969283
69.041,0.254317406
69.438,0.264129693
69.833,0.250477816
70.028,0.224880546
70.227,0.256023891
70.425,0.241945392
70.82,0.2521843
71.412,0.238532423
73.393,0.224880546
73.593,0.238532423
73.79,0.224880546
74.187,0.199283276
74.383,0.209095563
74.582,0.224880546
74.779,0.199283276
74.978,0.209095563
75.967,0.199283276
76.165,0.209095563
77.153,0.234692833
77.352,0.209095563
77.944,0.195443686
78.142,0.209095563
78.337,0.195443686
78.538,0.209095563
78.735,0.195443686
80.515,0.181791809
80.711,0.195443686
81.108,0.192030717
81.502,0.181791809
81.899,0.192030717
82.098,0.22274744
82.888,0.192030717
83.084,0.22274744
83.283,0.183498294
83.481,0.19331058
83.679,0.183498294
84.271,0.179658703
84.47,0.183498294
84.667,0.179658703
87.042,0.166006826
87.237,0.179658703
87.439,0.166006826
87.633,0.179658703
87.834,0.166006826
88.821,0.176245734
89.217,0.162167235
89.414,0.176245734
89.611,0.162167235
93.371,0.176245734
96.339,0.166006826
97.526,0.179658703
98.516,0.166006826
98.714,0.179658703
99.108,0.166006826
99.506,0.179658703
99.702,0.166006826
100.101,0.176245734
101.087,0.162167235
101.284,0.176245734
101.679,0.162167235
103.065,0.136996587
103.265,0.172406143
103.46,0.146808874
103.667,0.172406143
103.854,0.146808874
104.055,0.133156997
106.426,0.146808874
106.824,0.162167235
107.021,0.136996587
107.218,0.162167235
111.57,0.172406143
111.769,0.162167235
112.164,0.158754266
112.757,0.133156997
115.13,0.119505119
115.337,0.133156997
116.517,0.158754266
117.702,0.172406143
118.1,0.158754266
119.88,0.129317406
120.076,0.119505119
120.273,0.129317406
121.262,0.146382253
121.459,0.115665529
122.252,0.146382253
122.647,0.115665529
122.846,0.146382253
123.043,0.115665529
123.239,0.146382253
123.439,0.115665529
123.635,0.146382253
124.228,0.11225256
124.43,0.142969283
126.403,0.117372014
126.602,0.142969283
127.592,0.117372014
127.79,0.142969283
127.987,0.117372014
128.382,0.142969283
128.779,0.117372014
130.362,0.103720137
130.955,0.113532423
131.151,0.103720137
133.526,0.117372014
133.921,0.103720137
134.121,0.142969283
134.317,0.117372014
134.514,0.142969283
136.492,0.11225256
136.69,0.142969283
137.68,0.103720137
138.274,0.142969283
138.47,0.117372014
138.668,0.103720137
139.855,0.113532423
140.45,0.129317406
140.646,0.103720137
141.041,0.113532423
143.415,0.099880546
144.404,0.113532423
144.602,0.099880546
144.801,0.113532423
144.998,0.099880546
146.185,0.113532423
146.581,0.099880546
146.777,0.113532423
146.976,0.099880546
147.173,0.113532423
147.768,0.099880546
147.964,0.113532423
150.734,0.099880546
150.932,0.113532423
151.329,0.099880546
153.699,0.108412969
154.096,0.110119454
154.295,0.113532423
154.496,0.099880546
158.65,0.110119454
159.245,0.099880546
159.444,0.110119454
159.64,0.099880546
159.843,0.110119454
160.233,0.096467577
160.627,0.110119454
161.421,0.099880546
161.816,0.110119454
162.013,0.099880546
162.21,0.110119454
162.606,0.099880546
163.006,0.110119454
163.2,0.099880546
163.399,0.110119454
163.596,0.099880546
163.797,0.110119454
164.188,0.099880546
164.387,0.110119454
164.979,0.099880546
165.374,0.110119454
165.573,0.099880546
165.967,0.110119454
166.167,0.099880546
166.57,0.110119454
167.354,0.099880546
168.546,0.110119454
168.737,0.099880546
170.321,0.110119454
170.913,0.099880546
171.111,0.110119454
172.693,0.096467577
177.839,0.110119454
178.632,0.099880546
178.828,0.110119454
179.817,0.099880546
180.408,0.110119454
181.203,0.099880546
181.399,0.125477816
181.991,0.135290102
182.191,0.125477816
182.386,0.135290102
182.583,0.110119454
183.773,0.135290102
183.969,0.139129693
184.167,0.125477816
184.563,0.099880546
184.958,0.110119454
185.552,0.135290102
185.748,0.110119454
186.341,0.099880546
186.736,0.110119454
188.521,0.096467577
189.309,0.110119454
189.51,0.096467577
191.087,0.110119454
191.288,0.096467577
193.266,0.106279863
193.467,0.092627986
195.84,0.067030717
196.231,0.05337884
196.631,0.084095563
196.829,0.05337884
197.224,0.084095563
197.424,0.094334471
197.618,0.080682594
197.819,0.063617747
198.215,0.094334471
198.41,0.080682594
198.803,0.078976109
199.004,0.080682594
199.397,0.088788396
199.596,0.080682594
202.564,0.066604096
204.146,0.076843003
205.532,0.063191126
205.926,0.076843003
206.125,0.051245734
206.325,0.037593857
209.881,0.063191126
210.082,0.037593857
210.277,0.076843003
210.479,0.037593857
212.652,0.047832765
212.849,0.02394198
213.048,0.033754266
214.237,0.050819113
214.433,0.020102389
214.63,0.050819113
214.827,0.033754266
215.029,0.020102389
216.808,0.033754266
217.004,0.020102389
217.599,0.030341297
217.995,0.020102389
218.391,0.035460751
218.59,0.020102389
219.185,0.030341297
219.381,0.020102389
219.777,0.035460751
219.976,0.020102389
220.174,0.035460751
220.372,0.020102389
222.352,0.033754266
222.551,0.020102389
222.944,0.033754266
223.341,0.020102389
223.539,0.033754266
225.712,0.037593857
225.913,0.033754266
227.896,0.020102389
228.486,0.033754266
228.682,0.020102389
230.662,0.033754266
230.856,0.020102389
231.452,0.033754266
231.847,0.020102389
232.046,0.033754266
234.422,0.037593857
234.62,0.047832765
235.015,0.037593857
235.21,0.047832765
235.409,0.037593857
235.807,0.047832765
236.207,0.037593857
236.398,0.047832765
237.584,0.02394198
237.784,0.033754266
238.377,0.047832765
238.576,0.02394198
238.771,0.047832765
238.972,0.073003413
239.167,0.037593857
239.562,0.063191126
239.959,0.037593857
240.156,0.063191126
240.55,0.037593857
240.75,0.063191126
241.143,0.037593857
241.343,0.063191126
243.121,0.037593857
243.32,0.063191126
245.1,0.037593857
245.89,0.063191126
246.088,0.073003413
246.286,0.063191126
246.487,0.073003413
246.684,0.063191126
246.881,0.033754266
247.08,0.037593857
247.478,0.063191126
247.676,0.073003413
247.875,0.037593857
248.071,0.063191126
248.466,0.037593857
248.665,0.047832765
248.862,0.037593857
249.059,0.063191126
249.258,0.037593857
249.455,0.073003413
249.851,0.047832765
250.048,0.037593857
250.247,0.047832765
250.455,0.037593857
250.643,0.073003413
251.039,0.047832765
251.432,0.063191126
251.629,0.073003413
251.828,0.032474403
252.026,0.033754266
252.225,0.047832765
252.423,0.033754266
255.79,0.059351536
256.188,0.033754266
256.58,0.047832765
256.977,0.033754266
257.964,0.047832765
258.164,0.033754266
260.338,0.059351536
260.537,0.033754266
260.736,0.059351536
260.932,0.033754266
261.13,0.059351536
261.725,0.033754266
263.305,0.047832765
263.703,0.073003413
263.901,0.033754266
264.297,0.059351536
264.492,0.047832765
264.691,0.033754266
264.887,0.059351536
265.284,0.033754266
269.243,0.043993174
269.644,0.033754266
270.034,0.020102389
270.231,0.030341297
270.627,0.033754266
270.823,0.030341297
271.02,0.033754266
271.219,0.030341297
271.417,0.020102389
271.615,0.033754266
271.815,0.020102389
272.014,0.043993174
272.211,0.030341297
272.406,0.033754266
272.605,0.030341297
273.199,0.020102389
273.4,0.030341297
280.915,0.01668942
281.312,0.030341297
282.696,0.01668942
282.894,0.030341297
283.091,0.01668942
283.684,0.030341297
284.277,0.01668942
284.476,0.030341297
284.87,0.01668942
285.466,0.030341297
285.661,0.01668942
285.859,0.030341297
286.058,0.01668942
288.234,0.026501706
288.632,0.01668942
288.826,0.026501706
289.817,0.05721843
290.013,0.026501706
290.803,0.05721843
291.007,0.026501706
291.4,-0.01274744
291.596,0.012849829
293.377,0.043566553
293.971,0.012849829
294.366,0.017969283
294.762,-0.01274744
294.963,0.017969283
296.739,-0.01274744
297.135,0.017969283
297.528,-0.01274744
297.924,0.017969283
298.715,0.043566553
298.914,0.012849829
299.506,0.05721843
299.705,0.026501706
300.101,0.012849829
300.3,0.026501706
306.628,0.01668942
307.617,0.030341297
307.814,0.01668942
308.21,0.030341297
308.409,0.01668942
308.605,0.030341297
309.001,0.01668942
309.201,0.030341297
309.395,0.01668942
310.383,0.026501706
314.94,0.01668942
315.134,0.026501706
316.122,0.01668942
316.322,0.026501706
318.697,0.01668942
318.895,0.026501706
321.467,0.030341297
321.664,0.026501706
322.059,0.01668942
322.453,0.026501706
323.046,0.01668942
323.247,0.026501706
323.838,0.03162116
324.038,0.026501706
330.569,0.03162116
330.765,0.026501706
331.16,0.012849829
331.358,0.026501706
332.152,0.03162116
332.35,0.01668942
332.549,0.026501706
332.945,0.017969283
333.145,0.026501706
340.078,0.000904437
340.274,0.026501706
341.461,0.012849829
341.659,0.026501706
343.442,0.012849829
343.642,-0.01274744
343.837,0.017969283
344.037,0.012849829
344.233,-0.01274744
344.431,0.012849829
344.627,0.043566553
344.836,0.012849829
345.221,0.026501706
346.408,0.03162116
346.606,0.026501706
350.959,0.012849829
351.552,-0.01274744
351.75,0.012849829
352.146,0.043566553
352.344,0.012849829
352.542,-0.01274744
352.738,0.017969283
353.133,0.012849829
353.333,-0.01274744
353.532,0.017969283
353.727,-0.01274744
353.925,0.012849829
354.519,-0.01274744
354.716,0.043566553
354.913,0.012849829
355.119,-0.01274744
355.309,0.043566553
355.507,0.012849829
355.903,-0.01274744
356.298,0.017969283
356.89,-0.01274744
357.287,0.012849829
357.685,0.017969283
358.078,0.012849829
358.281,0.043566553
358.473,0.017969283
358.672,-0.01274744
358.874,0.043566553
359.068,-0.01274744
359.265,0.017969283
359.471,0.043566553
359.859,0.012849829
360.257,0.043566553
360.45,0.012849829
360.848,0.026501706
361.44,0.012849829
361.836,0.028208191
362.033,0.012849829
362.427,0.026501706
362.625,0.012849829
362.821,0.043566553
363.219,0.012849829
363.614,-0.01274744
363.813,0.012849829
364.01,0.017969283
364.21,-0.01274744
364.405,0.028208191
365.198,0.014556314
365.593,0.028208191
366.388,0.014556314
366.584,-0.002508532
366.978,0.028208191
367.572,0.012849829
367.769,-0.002508532
368.165,0.012849829
368.766,-0.002508532
368.956,0.022662116
369.155,0.012849829
369.351,-0.01274744
369.551,0.053805461
369.746,0.022662116
369.944,0.028208191
370.735,0.053805461
371.132,0.028208191
371.329,0.039726962
371.529,0.014556314
371.724,0.028208191
372.12,-0.016587031
372.322,0.014556314
373.901,0.022662116
374.1,0.014556314
375.29,0.028208191
375.484,0.014556314
375.684,0.028208191
375.878,0.014556314
