time,I
0.213,97.71
0.412,97.39
0.611,101.36
0.808,102.37
1.008,102.66
1.404,102.37
1.606,98.49
1.803,81.08
2.001,62.55
2.201,42.14
2.396,32.72
2.598,28.41
2.795,26.13
2.993,25.36
3.191,24.76
3.39,24.99
3.588,25.68
3.789,26.13
3.98,26.43
4.184,27.8
4.379,28.45
4.774,28.69
4.976,29.01
5.172,28.49
5.373,28.82
5.568,29.79
5.963,29.56
6.361,30.53
6.562,29.27
6.757,27.89
6.962,27.8
7.159,28.21
7.354,28.49
7.55,29.19
7.749,30.53
7.945,30.94
8.145,29.85
8.342,32.28
8.542,32.61
8.739,33.9
8.937,38.9
9.134,63.21
9.336,98.54
9.53,100.52
9.73,101.13
9.928,101.21
10.124,101.53
10.325,101.21
10.522,100.81
10.722,101.73
10.917,101.13
11.121,101.82
11.712,101.5
11.911,101.82
12.108,101.9
12.506,102.14
12.71,102.23
12.9,101.82
13.099,99.64
13.295,100.65
13.496,101.02
13.692,102.03
13.894,102.4
14.089,103
14.287,104.01
14.485,103.09
14.683,103.69
14.888,103.29
15.083,104.01
15.28,103.37
19.638,103.77
19.836,104.01
20.035,104.33
20.233,103.37
20.629,103.05
21.027,103.37
21.222,104.33
21.421,103.37
22.41,103.05
22.613,103.37
22.808,103.05
23.203,104.01
23.799,103.77
23.995,104.1
24.196,103.37
24.788,103.77
24.986,104.01
25.183,103.77
25.581,104.01
25.779,103.05
25.978,103.69
26.174,104.01
26.373,103.77
26.571,103.05
26.769,104.01
27.364,103.69
27.76,104.01
28.356,103.77
28.552,104.01
28.75,103.77
28.948,103.69
29.15,103.45
29.345,103.09
29.739,103.69
29.942,103.41
30.135,103.09
30.337,103.77
30.532,103.09
31.524,103.69
31.723,103.09
33.701,102.77
33.896,103.09
34.493,102.77
34.689,103.45
34.888,103.09
35.676,102.77
36.07,103.49
37.062,103.17
37.457,103.49
37.656,103.17
38.448,102.25
39.042,102.97
39.633,102.89
40.426,102.56
40.822,102.89
41.02,102.65
41.216,102.56
41.615,102.37
42.205,102.05
42.403,102.28
42.599,102.05
42.8,102.68
42.996,101.96
43.194,102.68
43.39,101.76
44.383,101.44
44.777,102.16
45.174,102.08
46.557,101.48
46.756,101.16
46.952,101.48
47.155,101.16
48.338,100.83
48.736,101.56
49.133,101.24
49.525,100.87
49.921,100.55
50.317,100.95
50.714,100.87
51.109,100.03
51.306,100.27
51.509,99.95
51.898,100.67
53.086,100.35
53.877,100.02
54.079,99.43
54.271,100.02
54.471,99.43
54.669,99.66
54.873,100.02
55.267,99.66
55.46,100.38
55.659,100.06
55.855,99.34
56.055,100.06
56.849,99.34
57.044,99.74
58.229,99.65
58.626,100.14
58.823,99.54
59.218,99.46
60.208,99.14
60.804,98.94
61.004,98.62
61.196,98.85
61.394,98.53
61.592,99.25
61.79,98.65
61.987,98.33
63.176,98.57
63.374,98.33
63.571,98.93
63.965,98.65
64.164,99.25
64.36,98.33
64.761,97.61
64.959,98.93
65.157,98.33
65.353,98.57
65.945,98.33
66.141,98.57
66.932,98.33
67.131,98.57
67.724,98.33
67.924,98.25
69.307,97.93
69.9,98.16
70.099,97.93
70.296,98.65
70.497,98.05
71.287,97.96
71.487,98.05
71.681,97.96
72.275,97.64
73.266,96.72
73.661,97.44
74.253,97.12
74.454,97.36
74.846,97.04
75.838,96.84
76.427,96.52
76.626,96.75
76.825,96.43
77.021,96.75
77.617,95.83
77.811,96.43
78.012,95.83
78.205,96.43
78.405,95.83
78.602,95.51
78.801,96.23
79.198,95.91
79.593,96.15
79.79,95.83
80.185,95.23
80.38,95.83
80.582,95.23
80.975,95.63
81.774,95.54
81.967,95.31
82.162,95.22
82.558,94.62
82.954,94.3
83.744,95.02
83.943,94.7
84.142,94.34
84.341,94.02
84.932,93.7
85.33,94.42
85.92,93.5
86.13,93.73
86.314,93.41
86.713,93.09
87.108,92.49
87.307,92.41
87.502,93.13
87.899,92.81
88.292,92.49
88.491,92.12
88.89,92.52
89.083,92.2
89.681,91.88
89.876,92.12
90.073,91.52
90.866,91.2
91.062,91.92
91.659,91.6
92.055,91.23
92.644,90.91
93.041,91.23
93.245,90.91
94.824,90.59
95.413,91.31
95.613,90.99
95.81,91.23
96.008,90.63
96.803,90.31
97.195,90.54
97.399,90.31
97.587,89.99
97.79,90.22
98.38,89.99
98.776,90.22
99.372,89.99
99.765,90.22
100.754,89.62
100.956,89.3
101.544,89.7
102.14,89.94
102.543,89.62
102.932,89.02
103.324,88.7
103.721,88.93
104.12,88.61
104.709,89.01
105.107,88.65
105.699,88.41
105.898,88.65
106.097,89.01
106.294,88.65
106.687,88.92
106.888,88.33
110.055,88
111.436,88.24
112.027,88
112.423,88.24
112.819,88
113.018,88.24
113.61,88
114.6,88.33
114.797,88
114.997,88.33
117.963,88.2
118.162,88.33
118.953,88.56
119.148,88
119.545,88.33
119.748,88
120.139,88.24
120.536,88
120.931,88.24
122.118,87.92
122.316,88.24
123.699,87.92
123.897,88.24
124.69,87.92
125.876,87.56
126.076,87.6
126.276,87.32
