time,I
0.022,176.35
0.213,175.46
0.404,176.46
0.599,178.04
0.792,178.66
0.987,170.01
1.183,167.96
1.375,168.33
1.572,174.11
1.767,192.07
1.959,192.47
2.159,192.15
2.357,193.08
2.546,192.44
2.739,192.1
2.938,190.84
3.134,190
3.331,182.08
3.532,163.37
3.722,163.41
3.916,163.98
4.111,165.08
4.306,165.6
4.504,165.36
4.696,166.29
4.891,166.06
5.086,166.38
5.673,166.7
6.251,166.66
6.449,167.38
6.839,166.66
7.232,167.38
7.424,166.66
8.986,166.06
9.179,166.66
9.569,167.38
9.764,166.66
10.158,167.06
10.348,166.66
10.552,166.79
10.746,166.66
10.939,165.74
11.133,166.46
11.327,166.34
11.525,166.66
11.717,166.34
11.914,165.74
12.107,166.66
12.302,167.38
12.498,167.06
12.888,166.66
13.47,167.38
13.665,166.66
13.861,165.74
14.056,166.34
14.254,166.66
14.645,167.06
14.838,166.46
15.036,167.06
15.619,167.38
15.817,166.66
16.013,167.06
16.205,166.34
16.401,167.38
16.788,167.06
16.987,166.66
17.377,167.06
17.569,166.66
17.767,166.34
17.962,167.06
18.352,166.46
18.542,166.34
18.734,166.46
19.123,167.06
19.315,166.46
19.51,167.06
19.703,166.14
19.899,166.38
20.094,166.46
20.474,167.06
20.672,166.74
21.054,166.38
21.246,166.14
21.44,166.38
21.825,166.74
22.017,167.06
22.212,166.14
22.6,167.06
22.789,166.46
22.982,166.14
23.367,166.46
23.559,167.06
23.754,166.38
23.948,166.14
24.141,166.38
24.525,166.06
24.717,166.38
25.103,166.06
25.299,165.82
25.494,166.06
25.682,165.82
25.875,166.06
26.262,166.78
26.456,165.82
26.647,166.78
27.615,166.46
27.807,166.78
28,166.18
28.196,166.46
29.166,165.86
29.551,165.54
32.061,166.26
32.448,165.54
32.64,165.94
32.832,166.17
33.803,165.85
33.994,166.17
34.378,165.57
34.571,165.85
34.764,165.25
35.15,165.57
35.344,165.25
36.31,165.65
36.5,165.89
36.698,165.25
37.083,164.93
37.471,165.65
37.661,164.93
37.856,165.65
39.014,165.33
39.4,165.57
39.592,165.33
40.753,165.25
40.944,164.65
41.333,165.25
41.525,165.37
41.718,164.65
41.912,165.37
42.102,165.05
43.457,164.73
43.843,164.96
44.038,164.13
44.229,164.76
45.005,164.44
45.39,164.12
45.774,163.52
46.161,164.16
46.356,163.84
46.741,163.52
46.933,163.32
47.511,163.55
47.706,163.23
48.283,163.04
48.669,162.71
48.863,162.95
49.252,162.63
49.639,163.35
49.832,162.03
50.026,162.43
50.604,162.11
50.798,162.34
51.183,162.02
51.569,162.15
51.954,161.82
52.341,161.5
52.535,161.82
53.114,161.5
53.306,161.82
53.887,161.5
54.081,161.82
54.664,161.74
54.851,161.5
55.044,161.82
55.818,162.06
56.012,161.82
56.205,161.5
56.397,161.82
56.589,161.74
56.782,161.5
57.558,161.74
57.749,161.42
58.134,160.82
58.52,161.22
58.91,161.13
59.293,160.21
59.486,160.61
59.679,160.21
59.872,160.61
60.456,160.53
60.646,159.93
60.836,160.53
61.029,159.93
61.224,159.61
61.998,159.29
62.192,160.33
62.385,159.29
62.577,160.01
62.77,160.24
62.961,160.01
63.541,159.92
63.736,160.01
64.124,159.09
64.315,159.33
65.478,159
66.055,159.24
66.248,159
66.829,158.92
67.021,159.64
67.216,158.68
67.599,159
67.793,158.68
67.987,158.92
68.369,158.68
68.566,159.64
69.146,159.32
69.336,159.64
69.915,158.92
70.109,159.64
70.302,159.32
70.495,158.72
72.433,158.4
72.622,158.72
72.821,158.63
73.01,158.4
73.204,158.63
73.396,158.4
73.786,158.63
74.558,158.4
74.748,158.63
75.719,158.31
75.912,158.63
77.265,158.31
77.651,158.44
77.844,158.31
78.232,157.71
78.617,158.31
79.003,159.03
79.198,157.63
79.388,157.71
79.584,157.39
79.778,158.11
80.166,158.35
80.938,158.03
84.613,157.71
84.999,158.26
85.193,157.94
85.579,157.71
85.773,157.94
86.162,157.34
86.352,157.94
86.543,157.34
86.933,157.02
87.516,157.94
87.706,157.62
87.9,157.34
88.093,157.94
88.477,157.34
88.671,157.94
88.863,157.62
89.06,157.02
89.251,157.94
89.831,157.02
90.218,157.34
90.41,157.94
90.602,157.02
90.798,157.34
90.99,157.94
91.57,157.34
91.761,157.94
92.924,157.34
93.116,158.26
93.309,157.34
93.503,157.54
93.697,157.34
93.892,157.94
94.47,157.34
94.665,157.94
94.857,157.34
95.244,157.62
95.436,157.34
96.018,157.02
97.179,157.26
97.758,157.62
97.95,157.26
98.144,157.02
98.335,157.26
98.528,156.94
98.722,157.66
98.915,156.94
99.108,157.26
99.305,156.94
101.43,156.61
101.625,156.94
105.106,156.61
105.297,156.94
105.88,156.61
106.458,156.94
106.651,156.61
107.234,156.94
107.423,157.34
107.616,156.02
107.809,156.65
108.198,155.93
108.386,157.57
108.585,156.97
108.774,156.65
110.323,156.33
110.904,156.65
111.287,156.33
111.676,156.57
112.064,156.33
112.254,156.57
112.836,156.33
113.028,156.57
113.604,155.65
113.799,155.97
113.992,155.65
114.19,156.24
114.378,156.57
114.571,156.24
115.151,155.65
115.343,156.24
115.537,156.57
115.732,156.24
116.118,156.57
116.694,156.24
117.084,156.33
117.275,156.01
117.468,156.37
117.664,156.57
118.05,156.33
118.434,156.57
118.631,156.24
118.822,156.33
120.757,156.93
120.947,156.33
121.722,156.93
121.911,156.33
122.492,156.57
122.684,156.33
122.88,156.24
123.264,156.01
123.455,156.24
123.843,156.01
124.235,156.24
125.202,155.92
125.391,156.24
125.583,155.92
126.554,155.33
126.94,155.92
127.131,155
127.327,155.24
127.517,156.16
127.903,155.33
128.096,155.24
128.289,155.96
128.481,155.24
128.675,155.96
128.869,155.24
129.061,155.56
129.255,155.24
129.446,155.56
129.639,155.33
129.83,155.24
132.931,155.56
133.317,155.24
134.089,155.56
134.282,155.24
135.251,155.96
135.445,155.24
136.217,155.64
136.606,155.87
136.801,154.92
136.99,155.87
137.569,155.15
137.763,155.87
137.962,155.55
138.147,155.87
138.727,155.55
139.308,155.87
139.696,154.95
139.888,155.87
140.076,154.23
140.274,155.87
140.466,154.95
140.657,154.63
140.851,155.55
141.427,154.95
142.206,154.63
142.394,154.95
142.59,154.63
143.169,154.87
143.36,154.63
143.552,154.87
144.715,154.63
144.908,154.87
145.291,154.95
145.484,154.87
145.677,155.19
146.064,154.87
146.259,154.95
146.646,154.63
146.842,155.19
147.034,154.95
147.418,154.83
147.611,154.95
149.548,154.87
149.742,154.63
149.933,154.95
150.13,154.63
150.515,154.87
151.489,154.63
151.675,154.87
152.065,154.63
152.257,154.87
153.029,154.55
155.546,154.87
155.738,154.55
157.286,154.78
157.675,154.46
157.866,154.78
158.256,154.55
158.447,154.23
158.642,154.78
159.223,154.46
159.412,153.86
159.992,154.46
160.768,153.86
161.155,154.46
161.542,155.18
161.733,153.86
161.927,155.18
162.122,153.86
162.314,155.18
162.503,154.46
162.697,155.18
162.89,154.46
163.278,155.18
163.469,153.86
163.662,154.46
164.051,153.86
164.245,155.18
164.438,154.46
164.63,154.58
164.824,154.46
165.018,155.18
165.211,153.86
166.168,154.46
166.359,154.78
166.549,154.46
166.931,154.78
167.314,153.86
167.503,154.46
167.886,154.78
168.076,154.46
168.268,153.86
